"";"KID";"API_NUMBER_SIMPLE";"LATITUDE";"LONGITUDE";"swd_inj_ci"
"2";1001184206;"15-007-20013";37,4089925;-98,4754955;"swd"
"5";1001184375;"15-007-20184";37,2303621;-98,5202328;"swd"
"41";1001185299;"15-007-21114";37,0263998;-98,6198884;"swd"
"61";1001185566;"15-007-21385";37,3709963;-98,8374563;"swd"
"121";1001186593;"15-007-22417";37,1008355;-98,6053776;"inj"
"157";1001186837;"15-007-10159";37,3571517;-98,8771708;"swd"
"167";1001186853;"15-007-70532";37,3636007;-98,8690911;"swd"
"183";1001186876;"15-007-10189";37,3500135;-98,8679166;"swd"
"330";1001187215;"15-007-01706";37,2560817;-98,661163;"swd"
"371";1001187359;"15-007-01189";37,2722731;-98,8883412;"swd"
"450";1001187528;"15-007-01767";37,2102294;-98,9257564;"swd"
"570";1001187720;"15-007-01627";37,1623254;-98,5094991;"swd"
"677";1001187884;"15-007-01646";37,1628504;-98,6353114;"swd"
"822";1001188197;"15-007-01418";37,1106178;-98,6566482;"swd"
"893";1001188335;"15-007-01690";37,0444181;-98,721435;"swd"
"909";1001188358;"15-007-01693";37,036429;-98,6790399;"swd"
"979";1001188549;"15-007-19019";37,0135398;-98,9038877;"swd"
"1147";1001189999;"15-009-21195";38,508134;-98,6055757;"swd"
"1150";1001190126;"15-009-21323";38,6764984;-98,5558996;"swd"
"1169";1001190483;"15-009-21681";38,3528331;-98,6261731;"swd"
"1187";1001190969;"15-009-22170";38,596868;-98,7627876;"swd"
"1195";1001191131;"15-009-22338";38,6694298;-98,8640948;"swd"
"1240";1001191807;"15-009-23029";38,5279381;-98,7393879;"swd"
"1285";1001192645;"15-009-23877";38,680872;-98,9643808;"swd"
"1605";1001194271;"15-009-06907";38,3491529;-99,0272697;"swd"
"1700";1001194384;"15-009-90544";38,3336469;-98,5082663;"swd"
"1863";1001194569;"15-009-14444";38,3302532;-98,5024613;"swd"
"2035";1001194748;"15-009-14569";38,3081039;-98,5462316;"swd"
"2219";1001194962;"15-009-14675";38,2952602;-98,4931837;"swd"
"2225";1001194968;"15-009-06915";38,3016028;-98,4896057;"swd"
"2232";1001194975;"15-009-14714";38,2988758;-98,4804596;"swd"
"2254";1001195001;"15-009-14732";38,2816673;-98,4933151;"swd"
"2501";1001195341;"15-009-06508";38,6826657;-98,700012;"swd"
"2669";1001195546;"15-009-15595";38,3034231;-98,6005926;"swd"
"2674";1001195552;"15-009-05728";38,2873054;-98,5980572;"swd"
"2705";1001195587;"15-009-15623";38,2820175;-98,6244289;"swd"
"2929";1001195862;"15-009-14198";38,26399;-98,60473;"swd"
"3186";1001196287;"15-009-76231";38,2674969;-98,8696674;"swd"
"3242";1001196350;"15-009-05691";38,2728375;-98,8143003;"swd"
