"";"KID";"API_NUMBER_SIMPLE";"LATITUDE";"LONGITUDE";"swd_inj_ci"
"13681";1041103386;"15-001-01025";37,961964;-95,423631;"swd"
"13893";1041771629;"15-001-01027";37,7497496;-95,2421002;"swd"
"8849";1031520438;"15-001-01146";37,7934067;-95,4743082;"swd"
"8816";1031517315;"15-001-01164";37,7853892;-95,4584986;"swd"
"8815";1031517314;"15-001-01165";37,7853816;-95,4573295;"swd"
"8840";1031519664;"15-001-01190";37,7871633;-95,4585811;"swd"
"8841";1031519666;"15-001-01192";37,7858366;-95,4591228;"swd"
"8762";1031511415;"15-001-01210";37,7854347;-95,4562362;"swd"
"8763";1031511423;"15-001-01213";37,7853423;-95,4551227;"swd"
"8761";1031511394;"15-001-01310";37,7872035;-95,476505;"swd"
"7757";1028443913;"15-001-01731";37,746649;-95,4616768;"swd"
"7758";1028443915;"15-001-01732";37,7456165;-95,461692;"swd"
"7759";1028443921;"15-001-01735";37,7446167;-95,4617448;"swd"
"10479";1035940033;"15-001-02120";37,7875691;-95,4657258;"swd"
"10480";1035940045;"15-001-02126";37,7850138;-95,4475934;"swd"
"11557";1036245929;"15-001-02301";38,0170478;-95,5020493;"swd"
"13259";1039260275;"15-001-02507";37,7764875;-95,402162;"swd"
"13452";1040003658;"15-001-02568";37,7414516;-95,4789249;"swd"
"13683";1041104236;"15-001-02687";37,9616126;-95,4282923;"swd"
"13827";1041462486;"15-001-02714";37,7928196;-95,3780023;"swd"
"14055";1042324815;"15-001-02732";37,9688956;-95,4340588;"swd"
"14946";1044022630;"15-001-03172";37,9824935;-95,4081121;"swd"
"16182";1044771825;"15-001-03180";37,805552;-95,376012;"swd"
"15313";1044115382;"15-001-03266";38,0136764;-95,4546223;"swd"
"16162";1044763501;"15-001-03668";37,7664472;-95,3050088;"swd"
"16167";1044764131;"15-001-03671";37,763896;-95,29001;"swd"
"18335";1046512486;"15-001-03983";37,8066245;-95,3632289;"swd"
"18345";1046515308;"15-001-03984";37,8757741;-95,2960371;"swd"
