"","x"
"1","Plugged by Kansas Oilfield Supply Corp. after a period as a SWD well (?)."
"2","Later SWD."
"3","Later converted to SWD or EOR."
"4","SAMPLES SAY 'SW SE SW' . (CUTTINGS WELL_ID=125208). Converted to SWD, plugged by Braden-DeeM Inc."
"5","According to scout cards, was changed to SWDW  at a later date. Have two cards, two drillers logs. Dates a problem."
"6","Plugged by Smith Oil Operations as SWD, api also listed as 15-007-19004."
"7","Converted to SWD. Plugged by Haven Oil Operations."
"8","E-log says Meda Steckel SWD #6. - MH 06-04-2003."
"9","Radioactivity log has lease name as Hagen SWD #1. - MH 06-10-2003."
"10","Deepened to 3744 starting 11-13-1943 and completing 1-13-1944, changed to SWD from oil."
"11","Drilled deeper by Honaker and Davis as McKinney 2, then converted to SWD as McKinney B-2. Footages changed from 990 FSL 2970 FEL to 847 FSL 3084 FEL per KCC GPS on OWWO."
"12","Location changed from E2 of NW SW NW per Elog and C-10; Completion Date changed from 12 February 1981 per C-10. Well also refered to as Henderson-Collins SWD #1 as seen on Well Log. (DRL 07-10-06)"
"13","elog marked SWD - LH 7-24-2000  Spud and comp. dates added via top card-BJB 08/21/00"
"14","Well deepened in 1947 from 3441 ft. to 3765 ft. The well converted to SWD with deepening. (drl 06-26-06)"
"15","Converted to SWDW upon completion of original well; Completion of conversion 17 January 1955; Original depth was 3783. (DRL 09-19-06)"
"16","Well deepened in 1952 to a total depth of 3893 ft. Status SWDW. (DRL 07-26-06)"
"17","Dry well deepened and converted to SWD beginning 10 September 1941 and completing on 16 September 1941. Well was originally 3835 ft deep, but was deepened to 3893. (DRL 09-06-06)"
"18","elog fields marked Burnett, Lane Wells elog marked SWD - LH 7-27-2000"
"19","Well deepened and worked-over and converted to SWD. See work-over entry for information. (DRL 09-26-06)"
"20","Well deepened 02-08-1952 to 02-28-1952 to a new total depth of 3836 feet. Converted to SWDW.(DRL 08-09-06)"
"21","Deepening record does not list status as SWD; well original depth was 3466 with IP of 3036 BO, deepened in 1947. Spud and completion dates listed above refer to original well, not deepening/workover - added from Deepening Record. (DRL 10-26-06)"
"22","Quarter call changed via top card- BJB 09/07/00  comp date per top card - dm 05-14-2001. D&A in 1941 TD 3700, re-entered 1979 for SWD TD 4185 per scout card (DRL-KGS 5/31/2017)"
"23","Salt mine shaft. No oil or gas production."
"24","Salt mine. No oil or gas production."
"25","Drillers log states use swdw"
"26","Well deepened to 4251' and status changed to SWDW 6-16-1954. (drl 12-21-05)"
"27","Status changed from Gas to Class I per KDHE records. Converted to Class II well under authority KDHE (DRL 5-7-2012)"
"28","May have been SWD later by Clarke Exploration, who plugged the well."
"29","SALT WATER DISPOSAL WELL (CUTTINGS WELL_ID=62251)"
"30","SWD 3630 (CUTTINGS WELL_ID=62278)"
"31","Class I Injection well under authority KDHE (DRL 12-29-11)"
"32","AKA: Frisbie SWDW 1. KGSW, MTD, 12/05/2017"
"33","70-A2556 CLASS-1 NON-HAZD in lease name field originally"
