"","Var1","Freq"
"8","INJ",736
"9","INJ-P&A",5716
"10","INTENT",667
"16","OTHER-P&A()",464
"19","OTHER-P&A(CLASS ONE (OLD))",2
"24","OTHER-P&A(INJ OR )",2
"25","OTHER-P&A(INJ or EOR)",65
"28","OTHER-P&A(OIL-SWD)",1
"32","OTHER-P&A(TA)",350
"34","OTHER()",26737
"35","OTHER(1O&1SWD)",2
"39","OTHER(CBM/SWD)",1
"40","OTHER(CLASS ONE (OLD))",76
"41","OTHER(CLASS1)",50
"49","OTHER(INJ or EOR)",1
"53","OTHER(NHDW)",1
"54","OTHER(NULL)",3
"59","OTHER(OIL,SWD)",1
"61","OTHER(OTHER)",12
"64","OTHER(SWD-P&A)",1
"65","OTHER(TA)",516
"66","OTHER(TEMP ABD)",3
"68","SWD",8027
"69","SWD-P&A",6971
