"","x"
"1","CBM"
"2","D&A"
"3","EOR"
"4","EOR-P&A"
"5","GAS"
"6","GAS-P&A"
"7","INJ"
"8","INJ-P&A"
"9","LOC"
"10","O&G"
"11","O&G-P&A"
"12","OIL"
"13","OIL-P&A"
"14","OTHER-P&A(CLASS ONE (OLD))"
"15","OTHER-P&A(LH)"
"16","OTHER-P&A(OIL-SWD)"
"17","OTHER-P&A(OIL&GAS-INJ)"
"18","OTHER-P&A(STRAT)"
"19","OTHER-P&A(TA)"
"20","OTHER-P&A(WATER)"
"21","OTHER()"
"22","OTHER(1O&1SWD)"
"23","OTHER(CBM/SWD)"
"24","OTHER(CLASS ONE (OLD))"
"25","OTHER(CLASS1)"
"26","OTHER(GAS-INJ)"
"27","OTHER(GAS-STG)"
"28","OTHER(LH)"
"29","OTHER(NHDW)"
"30","OTHER(OBS)"
"31","OTHER(OIL&GAS-INJ)"
"32","OTHER(OIL,SWD)"
"33","OTHER(OTHER)"
"34","OTHER(STRAT)"
"35","OTHER(SWD-P&A)"
"36","OTHER(TA)"
"37","OTHER(WATER)"
"38","SWD"
"39","SWD-P&A"
