,x,activity_status,activity_status_2
1,CBM,na,na
2,D&A,da,inactive
3,EOR,na,na
4,EOR-P&A,pa,inactive
5,GAS,na,na
6,GAS-P&A,pa,inactive
7,INJ,na,na
8,INJ-P&A,pa,inactive
9,LOC,na,unknown
10,O&G,na,na
11,O&G-P&A,pa,inactive
12,OIL,na,na
13,OIL-P&A,pa,inactive
14,OTHER-P&A(CLASS ONE (OLD)),pa,inactive
15,OTHER-P&A(LH),pa,inactive
16,OTHER-P&A(OIL-SWD),pa,inactive
17,OTHER-P&A(OIL&GAS-INJ),pa,inactive
18,OTHER-P&A(STRAT),pa,inactive
19,OTHER-P&A(TA),pa,inactive
20,OTHER-P&A(WATER),pa,inactive
21,OTHER(),na,na
22,OTHER(1O&1SWD),na,na
23,OTHER(CBM/SWD),na,na
24,OTHER(CLASS ONE (OLD)),na,na
25,OTHER(CLASS1),na,na
26,OTHER(GAS-INJ),na,na
27,OTHER(GAS-STG),na,na
28,OTHER(LH),lh,inactive
29,OTHER(NHDW),na,na
30,OTHER(OBS),na,na
31,OTHER(OIL&GAS-INJ),na,na
32,"OTHER(OIL,SWD)",na,na
33,OTHER(OTHER),na,na
34,OTHER(STRAT),na,na
35,OTHER(SWD-P&A),pa,inactive
36,OTHER(TA),ta,inactive
37,OTHER(WATER),na,na
38,SWD,na,na
39,SWD-P&A,pa,inactive
