"","x"
"1",""
"2","Approved for Plugging - CP-1 Received"
"3","Approved Intent to Drill"
"4","Authorized Injection Well"
"5","Cancelled API Number"
"6","Converted to EOR Well"
"7","Converted to Producing Well"
"8","Converted to SWD Well"
"9","DEVELOPMENT"
"10","Expired Intent to Drill (C-1)"
"11","Expired Plugging Application (CP-1)"
"12","Inactive Well"
"13","Injection Authorization Terminated"
"14","Injection Authorization Terminated - INACTIVE CODE"
"15","Injection Well Split to Another Dkt"
"16","KCC Fee Fund Plugging"
"17","ON LIST"
"18","Pending Injection Application"
"19","Plugged and Abandoned"
"20","Producing"
"21","Re-Plugged (non Fee-Fund)"
"22","Recompleted"
"23","Spudded"
"24","UIC Application Denied"
"25","UIC Application Dismissed"
"26","UIC Application Withdrawn"
"27","Unknown"
"28","Unplugged Former Injection Well"
"29","Well Drilled"
