"";"KID";"API_NUMBER";"LATITUDE";"LONGITUDE";"well_type"
"1";1001184206;"15-007-20013";37,4089925;-98,4754955;"swd"
"2";1001184375;"15-007-20184";37,2303621;-98,5202328;"swd"
"3";1001185299;"15-007-21114";37,0263998;-98,6198884;"swd"
"4";1001185566;"15-007-21385";37,3709963;-98,8374563;"swd"
"5";1001186837;"15-007-10159";37,3571517;-98,8771708;"swd"
"6";1001186853;"15-007-70532-0001";37,3636007;-98,8690911;"swd"
"7";1001186876;"15-007-10189";37,3500135;-98,8679166;"swd"
"8";1001187054;"15-007-01171";37,2489967;-98,4274849;"swd"
"10";1001187215;"15-007-01706";37,2560817;-98,661163;"swd"
"11";1001187359;"15-007-01189";37,2722731;-98,8883412;"swd"
"12";1001187517;"15-007-01368";37,2247336;-98,9317303;"swd"
"13";1001187528;"15-007-01767";37,2102294;-98,9257564;"swd"
"15";1001187689;"15-007-01265";37,1539189;-98,5445585;"swd"
"16";1001187690;"15-007-01267";37,1587738;-98,5418969;"swd"
"17";1001187720;"15-007-01627";37,1623254;-98,5094991;"swd"
"18";1001187779;"15-007-01815";37,135436;-98,5297554;NA
"20";1001187884;"15-007-01646";37,1628504;-98,6353114;"swd"
"21";1001187935;"15-007-10276";37,2095946;-98,6962872;"swd"
"23";1001188164;"15-007-10393";37,1108675;-98,5374939;"swd"
"24";1001188197;"15-007-01418";37,1106178;-98,6566482;"swd"
"25";1001188335;"15-007-01690";37,0444181;-98,721435;"swd"
"26";1001188358;"15-007-01693";37,036429;-98,6790399;"swd"
"27";1001188549;"15-007-19019";37,0135398;-98,9038877;"swd"
"28";1001189999;"15-009-21195";38,508134;-98,6055757;"swd"
"29";1001190126;"15-009-21323";38,6764984;-98,5558996;"swd"
"30";1001190483;"15-009-21681";38,3528331;-98,6261731;"swd"
"31";1001190969;"15-009-22170";38,596868;-98,7627876;"swd"
"32";1001191131;"15-009-22338";38,6694298;-98,8640948;"swd"
"33";1001191807;"15-009-23029";38,5279381;-98,7393879;"swd"
"34";1001192645;"15-009-23877";38,680872;-98,9643808;"swd"
"35";1001194009;"15-009-03221";38,6924162;-98,6070719;"swd"
"36";1001194052;"15-009-16479";38,4316002;-98,9509084;"swd"
"37";1001194271;"15-009-06907";38,3491529;-99,0272697;"swd"
"39";1001194323;"15-009-14260";38,3427538;-98,4946198;"swd"
"40";1001194332;"15-009-14255";38,3355779;-98,4830079;"swd"
"41";1001194384;"15-009-90544";38,3336469;-98,5082663;"swd"
"42";1001194412;"15-009-14326";38,3350263;-98,5198337;"swd"
