"","Var1","Freq"
"1","CBM",6920
"2","CBM-P&A",790
"3","D&A",120756
"4","EOR",18598
"5","EOR-P&A",10042
"6","GAS",23157
"7","GAS-P&A",12518
"8","INJ",736
"9","INJ-P&A",5716
"10","INTENT",790
"11","LOC",21283
"12","O&G",6737
"13","O&G-P&A",2695
"14","OIL",101415
"15","OIL-P&A",100075
"16","OTHER-P&A()",464
"17","OTHER-P&A(2 OIL)",1
"18","OTHER-P&A(CATH)",277
"19","OTHER-P&A(CLASS ONE (OLD))",2
"20","OTHER-P&A(COREHOLE)",1
"21","OTHER-P&A(GAS-INJ)",140
"22","OTHER-P&A(GAS-STG)",34
"23","OTHER-P&A(GSW)",12
"24","OTHER-P&A(INJ OR )",2
"25","OTHER-P&A(INJ or EOR)",65
"26","OTHER-P&A(LH)",1039
"27","OTHER-P&A(OBS)",81
"28","OTHER-P&A(OIL-SWD)",1
"29","OTHER-P&A(OIL&GAS-INJ)",21
"30","OTHER-P&A(SHUT-IN)",3
"31","OTHER-P&A(STRAT)",571
"32","OTHER-P&A(TA)",349
"33","OTHER-P&A(WATER)",558
"34","OTHER()",26747
"35","OTHER(1O&1SWD)",2
"36","OTHER(2OIL)",2
"37","OTHER(ABD LOC)",43
"38","OTHER(CATH)",1479
"39","OTHER(CBM/SWD)",1
"40","OTHER(CLASS ONE (OLD))",76
"41","OTHER(CLASS1)",50
"42","OTHER(COREHOLE)",189
"43","OTHER(GAS-INJ)",724
"44","OTHER(GAS-STG)",237
"45","OTHER(GAS INJ)",32
"46","OTHER(GAS SHUT-IN)",1
"47","OTHER(GSW)",48
"48","OTHER(HELIUM)",6
"49","OTHER(INJ or EOR)",1
"50","OTHER(LH)",41
"51","OTHER(Monitor)",17
"52","OTHER(MONITOR)",108
"53","OTHER(NHDW)",1
"54","OTHER(NULL)",3
"55","OTHER(OBS)",197
"56","OTHER(OBSERVATION)",5
"57","OTHER(OIL&GAS-INJ)",12
"58","OTHER(Oil)",2
"59","OTHER(OIL,SWD)",1
"60","OTHER(OIL/GAS)",3
"61","OTHER(OTHER)",12
"62","OTHER(SHUT-IN)",8
"63","OTHER(STRAT)",1060
"64","OTHER(SWD-P&A)",1
"65","OTHER(TA)",516
"66","OTHER(TEMP ABD)",3
"67","OTHER(WATER)",817
"68","SWD",8032
"69","SWD-P&A",6977
