"","Var1","Freq"
"1","",36052
"2","Active Injection",3
"3","Approved for Plugging - CP-1 Received",2013
"4","Approved Intent to Drill",38487
"5","Authorized Inj Well Split From Prior Dkt",155
"6","Authorized Injection Well",15951
"7","Cancelled API Number",1933
"8","Converted to EOR Well",8251
"9","Converted to Producing Well",1487
"10","Converted to SWD Well",3421
"11","DEVELOPMENT",27
"12","Expired Intent to Drill (C-1)",18028
"13","Expired Plugging Application (CP-1)",3
"14","Inactive Well",14857
"15","Injection Authorization Terminated",1701
"16","Injection Authorization Terminated - INACTIVE CODE",5
"17","Injection Well Split to Another Dkt",555
"18","KCC Fee Fund Plugging",10843
"19","ON LIST",5110
"20","Pending Injection Application",5
"21","Permitted Well",1
"22","Plugged and Abandoned",222234
"23","Producing",78108
"24","Re-Plugged (non Fee-Fund)",66
"25","Recompleted",11445
"26","SPECIAL",4
"27","Spudded",5963
"28","Temporarily Abandoned",1
"29","UIC Application Denied",20
"30","UIC Application Dismissed",244
"31","UIC Application Withdrawn",250
"32","Unknown",61
"33","Unplugged Former Injection Well",500
"34","Well Drilled",5284
"35","WILDCAT",3
