"","KID","API_NUMBER","API_NUM_NODASH","LEASE","WELL","FIELD","LATITUDE","LONGITUDE","LONG_LAT_SOURCE","TOWNSHIP","TWN_DIR","RANGE","RANGE_DIR","SECTION","SPOT","FEET_NORTH","FEET_EAST","FOOT_REF","ORIG_OPERATOR","CURR_OPERATOR","ELEVATION","ELEV_REF","DEPTH","PRODUCE_FORM","IP_OIL","IP_GAS","IP_WATER","PERMIT","SPUD","COMPLETION","PLUGGING","MODIFIED","OIL_KID","OIL_DOR_ID","GAS_KID","GAS_DOR_ID","KCC_DOCKET","STATUS","STATUS2","COMMENTS","permit_as_date","spud_as_date","completion_as_date","plugging_as_date","modified_as_date"
"285",1001187060,"15-007-01172",15007011720000,"C. W. Werner Unit","1","MCGUIRE-GOEMANN",37.2445301,-98.4103964,"Calc. from footages",32,"S",10,"W",21,"C   NW SE",1980,-1980,"SE","MULL DRILLING CO., INC.","unavailable",1455," KB",4445,"",10,NA,NA,"","19-NOV-1957","02-DEC-1957","01-FEB-1960","20-DEC-2017",NA,NA,NA,NA,"","OIL-P&A","Plugged and Abandoned","Plugged by Kansas Oilfield Supply Corp. after a period as a SWD well (?).",NA,1957-11-19,1957-12-02,1960-02-01,2017-12-20
"371",1001187359,"15-007-01189",15007011890000,"Stumph-Smith","2","STUMPH",37.2722731,-98.8883412,"From GPS",32,"S",14,"W",7,"C  SW NE SW",1823,-3777,"SE","NATIONAL COOPERATIVE REFINERY ASSOCIATION","BEREXCO LLC",1920," KB",5117,"",34,NA,38,"","19-OCT-1952","21-NOV-1952","","26-DEC-2017",NA,NA,NA,NA,"D03690.0","SWD","Authorized Injection Well","Later SWD.",NA,1952-10-19,1952-11-21,NA,2017-12-26
"522",1001187667,"15-007-70080",15007700800000,"Groendycke 'A'","1","Rhodes",37.1545616,-98.555886,"Calc. from footages",33,"S",11,"W",19,"C   SW SE",660,-1980,"SE","Bowers Drilling Co., Inc.","Bowers Drilling Co., Inc.",1414," KB",4600,"",93,NA,35,"","23-SEP-1964","07-OCT-1964","13-SEP-1995","15-MAY-2012",NA,NA,NA,NA,"","OIL-P&A","Plugged and Abandoned","Later converted to SWD or EOR.",NA,1964-09-23,1964-10-07,1995-09-13,2012-05-15
"543",1001187689,"15-007-01265",15007012650000,"Newkirk, W.A.","13","Rhodes",37.1539189,-98.5445585,"Calc. from footages",33,"S",11,"W",20,"C  S2 S2 SW",440,1320,"SW","Continental Oil Co.","unavailable",1399," KB",4600,"",117,NA,48,"","22-JAN-1955","04-FEB-1955","01-APR-1978","22-SEP-2014",NA,NA,NA,NA,"","OIL-P&A","Converted to SWD Well","SAMPLES SAY 'SW SE SW' . (CUTTINGS WELL_ID=125208). Converted to SWD, plugged by Braden-DeeM Inc.",NA,1955-01-22,1955-02-04,1978-04-01,2014-09-22
"613",1001187779,"15-007-01815",15007018150000,"Harbaugh, U. B.","1-33","Rhodes",37.135436,-98.5297554,"Calc. from footages",33,"S",11,"W",33,"C  SW NW NW",-990,330,"NW","Continental Oil Co.","unavailable",1387," KB",4691,"",7,NA,NA,"","21-DEC-1956","13-FEB-1957","14-FEB-1966","07-OCT-2014",NA,NA,NA,NA,"","OIL-P&A","Plugged and Abandoned","According to scout cards, was changed to SWDW  at a later date. Have two cards, two drillers logs. Dates a problem.",NA,1956-12-21,1957-02-13,1966-02-14,2014-10-07
"667",1001187872,"15-007-01379",15007013790000,"G. R. Smith 'A'","1","Medicine Lodge-Boggs",37.1664517,-98.6442741,"Calc. from footages",33,"S",12,"W",20,"C  NW NE NE",4950,-990,"SE","Continental Oil Co.","unavailable",1570," DF",5068,"",NA,NA,NA,"","11-JAN-1947","28-MAR-1947","21-APR-2000","17-MAY-2012",NA,NA,NA,NA,"","OIL-P&A","Spudded","Plugged by Smith Oil Operations as SWD, api also listed as 15-007-19004.",NA,1947-01-11,1947-03-28,2000-04-21,2012-05-17
"677",1001187884,"15-007-01646",15007016460000,"G R SMITH","5","Medicine Lodge-Boggs",37.1628504,-98.6353114,"Calc. from footages",33,"S",12,"W",21,"  NW SE NW",3630,-3630,"SE","HAVEN ENERGY CORP.","Haven Energy Corporation",1531," DF",4910,"",NA,NA,NA,"","24-JUN-1949","31-AUG-1949","13-MAR-1989","18-JUL-2013",NA,NA,NA,NA,"","SWD-P&A","Plugged and Abandoned","Converted to SWD. Plugged by Haven Oil Operations.",NA,1949-06-24,1949-08-31,1989-03-13,2013-07-18
"1628",1001194305,"15-009-14230",15009142300000,"M. STECKEL","6","CHASE-SILICA",38.3428069,-98.4899375,"Calc. from footages",20,"S",11,"W",1,"C  NE SE NW",3630,-2940,"SE","MAGNOLIA PETROLEUM CORP.","unavailable",1762," DF",3305,"ARBUCKLE GROUP",NA,NA,NA,"","18-MAY-1936","06-JUN-1936","","23-OCT-2008",NA,NA,NA,NA,"","OIL","Converted to EOR Well","E-log says Meda Steckel SWD #6. - MH 06-04-2003.",NA,1936-05-18,1936-06-06,NA,2008-10-23
"2297",1001195048,"15-009-05838",15009058380000,"HAGEN","1","CHASE-SILICA",38.2892324,-98.526585,"Calc. from footages",20,"S",11,"W",27,"C  NE NE NW",4950,-2970,"SE","NATIONAL ASSOC PETR CO","unavailable",1764," KB",3378,"",NA,NA,NA,"","14-NOV-1950","24-NOV-1950","24-NOV-1950","08-MAY-2018",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","Radioactivity log has lease name as Hagen SWD #1. - MH 06-10-2003.",NA,1950-11-14,1950-11-24,1950-11-24,2018-05-08
"5136",1001198730,"15-009-70198",15009701980000,"F. Bloomer","5","BLOOMER",38.5336096,-98.4833265,"Calc. from footages",17,"S",11,"W",36,"C  SW NE NE",4290,-990,"SE","Texas Co.","Rama Operating Co., Inc.",1809," DF",3266,"",NA,NA,NA,"","30-DEC-1936","14-FEB-1937","10-JUN-1993","19-MAR-2014",NA,NA,NA,NA,"","SWD-P&A","Plugged and Abandoned","Deepened to 3744 starting 11-13-1943 and completing 1-13-1944, changed to SWD from oil.",NA,1936-12-30,1937-02-14,1993-06-10,2014-03-19
"7341",1001202167,"15-009-06900",1.5009069e+13,"MCKINNEY","1 (becomes 2)","GREAT BEND TOWNSITE",38.3790662,-98.7844501,"Calc. from footages",19,"S",13,"W",20,"  NE SE SW",990,-2970,"SE","SUN OIL CO","unavailable",1855," KB",3580,"",NA,NA,NA,"","16-JUL-1955","28-JUL-1955","31-JUL-1955","18-DEC-2015",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","Drilled deeper by Honaker and Davis as McKinney 2, then converted to SWD as McKinney B-2. Footages changed from 990 FSL 2970 FEL to 847 FSL 3084 FEL per KCC GPS on OWWO.",NA,1955-07-16,1955-07-28,1955-07-31,2015-12-18
"7962",1001210565,"15-051-22098",15051220980000,"COLLINS HENDERSON SWD","1","Bemis-Shutts",39.1137386,-99.255548,"From GPS",11,"S",17,"W",7," NW NE SW NW",3867,-4393,"SE","LIBERTY ENTERPRISES, INC.","Venture Resources, Inc.",1891," KB",3766,"",NA,NA,NA,"17-SEP-1980","16-SEP-1980","27-SEP-1980","","23-SEP-2010",NA,NA,NA,NA,"D20063.0","SWD","Authorized Injection Well","Location changed from E2 of NW SW NW per Elog and C-10; Completion Date changed from 12 February 1981 per C-10. Well also refered to as Henderson-Collins SWD #1 as seen on Well Log. (DRL 07-10-06)",1980-09-17,1980-09-16,1980-09-27,NA,2010-09-23
"9204",1001216604,"15-051-03567",15051035670000,"BURNETT","3","Bemis-Shutts",39.1033962,-99.2682816,"From GPS",11,"S",18,"W",12," SE SE SE SW",330,-2970,"SE","PHILLIPS PETROLEUM CORP.","unavailable",1860," KB",3900,"",NA,NA,NA,"","26-APR-1958","11-JUN-1958","","14-MAR-2012",NA,NA,NA,NA,"","SWD","","elog marked SWD - LH 7-24-2000  Spud and comp. dates added via top card-BJB 08/21/00",NA,1958-04-26,1958-06-11,NA,2012-03-14
"9281",1001216687,"15-051-03662",15051036620000,"SLIMMER","2","UNKNOWN",39.0874223,-99.1477,"Calc. from footages",11,"S",16,"W",19,"C  W2 NW NW",4620,-4950,"SE","CITIES SERVICE CO","unavailable",1882," DF",3441,"",NA,NA,NA,"","22-OCT-1941","07-NOV-1941","09-NOV-1941","26-JUL-2010",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","Well deepened in 1947 from 3441 ft. to 3765 ft. The well converted to SWD with deepening. (drl 06-26-06)",NA,1941-10-22,1941-11-07,1941-11-09,2010-07-26
"9313",1001216723,"15-051-03706",15051037060000,"MARSHALL","4","Bemis-Shutts",39.0621522,-99.2639648,"Calc. from footages",11,"S",18,"W",25,"C  N2 S2 SE",990,-1320,"SE","WALTERS DRILLING CO.","Murfin Drilling Co., Inc.",1970," KB",4065,"",NA,NA,NA,"","01-JAN-1955","13-JAN-1955","20-FEB-2004","19-SEP-2006",NA,NA,NA,NA,"D04346.0","SWD-P&A","Plugged and Abandoned","Converted to SWDW upon completion of original well; Completion of conversion 17 January 1955; Original depth was 3783. (DRL 09-19-06)",NA,1955-01-01,1955-01-13,2004-02-20,2006-09-19
"9325",1001216738,"15-051-03723",15051037230000,"WASINGER 'B'","1","Bemis-Shutts",39.0838007,-99.3252149,"Calc. from footages",11,"S",18,"W",21,"  NE SE NW",3605,-2970,"SE","CITIES SERVICE OIL CO.","unavailable",1942," KB",3540,"",NA,NA,NA,"","20-DEC-1948","08-JAN-1949","09-JAN-1949","27-JUN-2008",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","Well deepened in 1952 to a total depth of 3893 ft. Status SWDW. (DRL 07-26-06)",NA,1948-12-20,1949-01-08,1949-01-09,2008-06-27
