,KID,API_NUMBER,has_api,activity,well_type,assignment,reason,notes,comments_examined,documents_verified,STATUS,STATUS2,COMMENTS
406574,1043018106,,NA,active,class1,comments,c1_com,comments_examined,yes,,INJ,,Class 1 injection well under authority of KDHE. Injecting into Arbuckle. Compl date estim from letters. Latitude longitude values from Petrotek.(DS-DRL 12-2010)
447299,1007377240,,NA,active,prob_not_c1,comments,may_match_class1_but_if_so_is_duplicate,possible_duplicate_of_1002876875,yes,,OTHER(),,Well may match Class I well with KID 1002876875 (DRL 5-4-2012)
91668,1002931723,15-125-22170,NA,active,class1,status1,swd_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),Approved Intent to Drill,"THIS IS A DISPOSAL WELL (CUTTINGS WELL_ID=19590.) Class I injection well under KDHE authority, previous status changed from SWD to Class I (DRL 4-13-2012)"
91669,1002931724,15-125-22172,NA,active,class1,status1,swd_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),Approved Intent to Drill,"THIS IS A DISPOSAL WELL (CUTTINGS WELL_ID=19591). Class I injection well under KDHE authority, previous status changed from SWD to Class I (DRL 4-13-2012)"
288118,1027806683,15-125-22744,NA,active,class1,status1,swd_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),Approved Intent to Drill,"Class I injection well under KDHE authority, previous status changed from SWD to Class I (DRL 4-13-2012)"
98578,1002939405,15-155-00390,NA,active,class1,status1,swd_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),Authorized Injection Well,"Well also known as HAMILTON LP GAS STORAGE 2, and Hamilton D-2(DRL 8-5-2010) Well status changed from SWD to Class I per KDHE records (DRL 5-4-2012)"
19445,1001269898,15-151-20689,NA,pre,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),Injection Authorization Terminated,Class I Injection well under authority KDHE (DRL 12-29-11)
178042,1006119303,15-159-20580,NA,drill,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),Spudded,Class 1 injection well under authority of KDHE.(DRL 4-16-2012)
41432,1002876875,15-113-00023,NA,active,class1,status1,swd_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),Well Drilled,Changed status from SWD to Class 1 per KDHE records (DRL 5-4-2012)
41629,1002877092,15-113-20071,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),Well Drilled,"Class 1 disposal well authorized under KDHE. was SECURITY UNDERGROUND STORAGE 1, was Riddell 1.  Williams Conway 1 and Security Underground 1 records merged 2014-11-10 per operator (DLS-DRL)"
176794,1006116757,15-155-20560,NA,active,class1,status1,swd_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),Well Drilled,"Changed status from SWD to Class 1 and location from E2 NW to NE NE NW per KDHE records. Class 1 Injection well under KDHE authority, no API (DRL 5-7-2012)"
41710,1002877176,15-113-20174,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,Class 1 injection well under authority of KDHE. was SECURITY UNDERGROUND STORAGE 2. Williams Conway 2 and Security Underground 2 wells merged 2014-11-10 per operator (DLS-DRL)
98699,1002939562,15-155-03189,NA,active,class1,status1,swd_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Changed from SWD to Class 1 per KDHE records. Class I Injection well under authority of KDHE, no API (DRL 5-7-2012)"
125020,1005796855,,NA,active,class1,status1,inj_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,Class 1 injection well under KDHE authority. Status changed from INJ to CLASS1 (DRL 2-21-2012)
319700,1031009751,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class 1 Injection well (nonhazardous disposal well). KDHE permit no. KS-01-055-003. It was drilled to 5800, then directionally W NW within the Arbuckle formation.  TD 7115, true vertical TD 6470.  API no. of 15-175-21791 listed on some records is not val"
348336,1033722365,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class 1 Injection well under authority KDHE, KDHE permit KS-01-155-008 (DRL 4-4-2012)Large e-logs split between multiple files by depth (DRL 4-9-2012)"
361970,1036119576,15-055-90083,NA,active,class1,status1,eor_to_c1_status_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Lease name and operator taken from electric logs with same location (DRL 8-11-11) Changed status from EOR to Class 1 and location from E2 to SW NE SE per KDHE records. Class 1 Injection well under KDHE authority, no API (DRL 5-7-2012)"
370018,1036443720,15-091-00002,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class 1 Disposal well under authority of KDHE. This is an older disposal well, a newer Disposal well 2 was drilled in 2006 within a few hundred feet. Survey does not have documents for this well, but does have cuttings.(DS-DRL 2-10-2012). Total depth det"
375007,1037027111,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class 1 Injection Well, KDHE Permit No. KS-01-155-009; Disposing into Arbuckle 4055' to 4740'."
383879,1037782847,,NA,active,class1,status1,inj_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Current Operator Occidental Chemical. Class I UIC Permit No. KS-01-173-010; Injection zone Simpson, Arbuckle; Data source: Kansas Department of Health & Environment, Bureau of Water - MTD 02/08/2008   Status changed from INJ to CLASS1 per KDHE (DRL 2-21-"
406575,1043018109,,NA,active,class1,status1,inj_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,Class 1 injection well under KDHE authority. Status changed from INJ to CLASS1 (DRL 2-21-2012)
407382,1043230810,,NA,active,class1,status1,inj_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,Class 1 Injection Well under authorization by KDHE. Status changed from INJ to CLASS1 (DRL 2-21-2012)
408829,1043343835,,NA,active,class1,status1,inj_to_c1_status_change_kdhe,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"DATA PER RECORDS AT KG SOCIETY IN WICHITA. (RLH 01-26-2011) Class 1 injection well under authority of KDHE, no API. Current operator listed as 'Kansas Ethanol,' status changed from 'INJ' to 'Class 1' (DRL 4-16-2012)"
417179,1044018314,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under authority KDHE. Well defunct in 2011 per KDHE, exact date unavailable (DRL 11-8-2011)Changed quarter call location from NE to NW SW NE per KDHE records (5-7-2012)"
418088,1044039141,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,Well added per class I injection well priority list for KGS CO2 project (DRL 12-16-11)
418089,1044039154,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_api_15_113_20119,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 12-16-11)       (Well entry may match existing well: 'Midwest Underground Storage Fee 1' API: 15-113-20119)"
418254,1044044287,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 12-29-11)"
418255,1044044289,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_kid_1002877237,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 12-29-11) May match existing well KID 1002877237 (DRL 5-4-2012)"
418256,1044044291,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_api_15_113_20546,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 12-29-11)       Well entry could match with existing well: Conway Undrgrd LPG 2, API: 15-113-20546  (DRL 12-29-11)"
418257,1044044293,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 12-29-11)"
418258,1044044300,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under authority KDHE, no API (DRL 12-29-11)Logs compiled together in best possible manner from separate copies (DRL 8-1-2012)"
418259,1044044302,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_kid_1043454619,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under authority KDHE, no API (DRL 12-29-11)    Well entry may match existing well: 'CLASS-1 NON-HAZD DISPOSAL,' KID 1043454619 same location (DRL 12-29-11)  Discrepancy--KDHE logs indicate location in SE SE NE and NE SE NE (DRL 1-1"
418260,1044044304,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_gingerich_1_same_location,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under authority KDHE, no API (DRL 12-29-11)    (Well entry may match existing well in same location: Gingerich #1) (DRL 12-29-11)"
418365,1044046894,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 1-4-12)"
418366,1044046924,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_api_15_173_20350,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 1-4-2012)    Well may correspond to Abbott 1 lease in same section, API 15-173-20350 (DRL 1-4-2012)"
418367,1044046926,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 1-4-2012) Well depth taken from well log"
418368,1044046928,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 1-4-2012)"
418369,1044046930,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 1-4-2012)"
418370,1044046935,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under KDHE authority, no API (DRL 1-4-2012)"
418371,1044046937,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_api_15_155_00062,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under KDHE authority, no API (DRL 1-4-2012)  Well may correspond to Hamilton 1 well, operator Cities Service Oil,  API 15-155-00062 (DRL 2-6-2012)"
