"","x"
"1","D&A"
"2","SWD-P&A"
"3","LOC"
"4","GAS-P&A"
"5","O&G"
"6","OIL-P&A"
"7","GAS"
"8","OTHER-P&A(LH)"
"9","SWD"
"10","OIL"
"11","OTHER()"
"12","O&G-P&A"
"13","OTHER-P&A(INJ or EOR)"
"14","OTHER(STRAT)"
"15","EOR-P&A"
"16","OTHER(TA)"
"17","OTHER-P&A(STRAT)"
"18","EOR"
"19","OTHER-P&A(TA)"
"20","INJ-P&A"
"21","OTHER-P&A()"
"22","OTHER-P&A(WATER)"
"23","INJ"
"24","OTHER(CATH)"
"25","OTHER(GAS-STG)"
"26","OTHER(CLASS1)"
"27","OTHER(WATER)"
"28","OTHER(CLASS ONE (OLD))"
"29","OTHER-P&A(OBS)"
"30","OTHER(GAS-INJ)"
"31","OTHER(OBS)"
"32","OTHER-P&A(GAS-INJ)"
"33","OTHER-P&A(OIL&GAS-INJ)"
"34","OTHER-P&A(GAS-STG)"
"35","OTHER(LH)"
"36","OTHER-P&A(CATH)"
"37","OTHER(GSW)"
"38","CBM"
"39","CBM-P&A"
"40","OTHER(HELIUM)"
"41","OTHER-P&A(SHUT-IN)"
"42","OTHER(OIL&GAS-INJ)"
"43","OTHER-P&A(CLASS ONE (OLD))"
"44","OTHER(OIL,SWD)"
"45","OTHER(1O&1SWD)"
"46","OTHER-P&A(OIL-SWD)"
"47","OTHER(SHUT-IN)"
"48","OTHER(MONITOR)"
"49","OTHER(CBM/SWD)"
"50","OTHER-P&A(INJ OR )"
"51","OTHER(GAS SHUT-IN)"
"52","OTHER-P&A(2 OIL)"
"53","OTHER(2OIL)"
"54","OTHER(NULL)"
"55","OTHER-P&A(GSW)"
"56","INTENT"
"57","OTHER(ABD LOC)"
"58","OTHER(TEMP ABD)"
"59","OTHER(OIL/GAS)"
"60","OTHER(COREHOLE)"
"61","OTHER(GAS INJ)"
"62","OTHER(OBSERVATION)"
"63","OTHER(OTHER)"
"64","OTHER-P&A(COREHOLE)"
"65","OTHER(NHDW)"
"66","OTHER(INJ or EOR)"
"67","OTHER(Oil)"
"68","OTHER(SWD-P&A)"
"69","OTHER(Monitor)"
