"","x"
"1","Plugged and Abandoned"
"2","Expired Intent to Drill (C-1)"
"3",""
"4","Cancelled API Number"
"5","Recompleted"
"6","Authorized Injection Well"
"7","Injection Authorization Terminated"
"8","Producing"
"9","Approved Intent to Drill"
"10","Spudded"
"11","Converted to SWD Well"
"12","Inactive Well"
"13","Well Drilled"
"14","Converted to EOR Well"
"15","Converted to Producing Well"
"16","DEVELOPMENT"
"17","Approved for Plugging - CP-1 Received"
"18","KCC Fee Fund Plugging"
"19","ON LIST"
"20","Unplugged Former Injection Well"
"21","UIC Application Withdrawn"
"22","Unknown"
"23","WILDCAT"
"24","UIC Application Denied"
"25","Injection Well Split to Another Dkt"
"26","Re-Plugged (non Fee-Fund)"
"27","UIC Application Dismissed"
"28","Expired Plugging Application (CP-1)"
"29","Pending Injection Application"
"30","Authorized Inj Well Split From Prior Dkt"
"31","Injection Authorization Terminated - INACTIVE CODE"
"32","Permitted Well"
"33","Active Injection"
"34","Temporarily Abandoned"
"35","SPECIAL"
